q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.0014260138716967108,0.00017782794100389227,logarithmic,4,montecarlo,local,0.8318877551020408,0.06666368390175871,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.00031622776601683794,exponential,4,montecarlo,local,0.826530612244898,0.06718440498523068,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.00031622776601683794,classic,4,montecarlo,local,0.8316326530612244,0.0617536654944398,0.6093537414965984,-11.0
0.75,10,"(28, 28)",0.0014260138716967108,0.00031622776601683794,logarithmic,4,montecarlo,local,0.8318877551020408,0.06666368390175871,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.0005623413251903491,exponential,4,montecarlo,local,0.8372448979591838,0.05690319640347932,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.0005623413251903491,classic,4,montecarlo,local,0.8318877551020408,0.06666368390175871,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.0005623413251903491,logarithmic,4,montecarlo,local,0.821173469387755,0.06248125499824542,0.6093537414965984,-11.362244897959187
0.75,10,"(28, 28)",0.0014260138716967108,0.001,exponential,4,montecarlo,local,0.8252551020408164,0.06898376164790797,0.6093537414965984,-14.158163265306115
0.75,10,"(28, 28)",0.0014260138716967108,0.001,classic,4,montecarlo,local,0.8387755102040817,0.06012836816394688,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,0.001,logarithmic,4,montecarlo,local,0.821173469387755,0.06248125499824542,0.6093537414965984,-11.362244897959187
0.75,10,"(28, 28)",0.0014260138716967108,0.0017782794100389228,exponential,4,montecarlo,local,0.8392857142857142,0.04384490954825268,0.6093537414965984,-10.642857142857139
0.75,10,"(28, 28)",0.0014260138716967108,0.0017782794100389228,classic,4,montecarlo,local,0.8168367346938774,0.0626824699974503,0.6093537414965984,-11.117346938775512
0.75,10,"(28, 28)",0.0014260138716967108,0.0017782794100389228,logarithmic,4,montecarlo,local,0.821173469387755,0.06248125499824542,0.6093537414965984,-11.362244897959187
0.75,10,"(28, 28)",0.0014260138716967108,0.0031622776601683794,exponential,4,montecarlo,local,0.821173469387755,0.06248125499824542,0.6093537414965984,-11.362244897959187
0.75,10,"(28, 28)",0.0014260138716967108,0.0031622776601683794,classic,4,montecarlo,local,0.8334183673469389,0.06262274494215311,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.0031622776601683794,logarithmic,4,montecarlo,local,0.8316326530612244,0.0617536654944398,0.6093537414965984,-11.0
0.75,10,"(28, 28)",0.0014260138716967108,0.005623413251903491,exponential,4,montecarlo,local,0.8474489795918367,0.05492460092486352,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.005623413251903491,classic,4,montecarlo,local,0.8295918367346939,0.05450832827096664,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.005623413251903491,logarithmic,4,montecarlo,local,0.8183673469387756,0.06552498402793948,0.6093537414965984,-11.683673469387742
0.75,10,"(28, 28)",0.0014260138716967108,0.01,exponential,4,montecarlo,local,0.8002551020408164,0.07135610390976495,0.6093537414965984,-11.122448979591837
0.75,10,"(28, 28)",0.0014260138716967108,0.01,classic,4,montecarlo,local,0.8380102040816325,0.06333778353392563,0.6093537414965984,-10.561224489795904
0.75,10,"(28, 28)",0.0014260138716967108,0.01,logarithmic,4,montecarlo,local,0.8295918367346939,0.05450832827096664,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.01778279410038923,exponential,4,montecarlo,local,0.8295918367346939,0.05450832827096664,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.01778279410038923,classic,4,montecarlo,local,0.8168367346938774,0.0626824699974503,0.6093537414965984,-11.117346938775512
0.75,10,"(28, 28)",0.0014260138716967108,0.01778279410038923,logarithmic,4,montecarlo,local,0.8224489795918366,0.05915067693828527,0.6093537414965984,-11.943877551020421
0.75,10,"(28, 28)",0.0014260138716967108,0.03162277660168379,exponential,4,montecarlo,local,0.8331632653061224,0.05734067436189211,0.6093537414965984,-12.000000000000028
0.75,10,"(28, 28)",0.0014260138716967108,0.03162277660168379,classic,4,montecarlo,local,0.8283163265306122,0.06637606078422516,0.6093537414965984,-11.97959183673467
0.75,10,"(28, 28)",0.0014260138716967108,0.03162277660168379,logarithmic,4,montecarlo,local,0.8331632653061224,0.05734067436189211,0.6093537414965984,-12.000000000000028
0.75,10,"(28, 28)",0.0014260138716967108,0.05623413251903491,exponential,4,montecarlo,local,0.8206632653061225,0.06644465540886764,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.05623413251903491,classic,4,montecarlo,local,0.8306122448979592,0.05194569137228745,0.6093537414965984,-11.209183673469369
0.75,10,"(28, 28)",0.0014260138716967108,0.05623413251903491,logarithmic,4,montecarlo,local,0.8002551020408164,0.07135610390976495,0.6093537414965984,-11.122448979591837
0.75,10,"(28, 28)",0.0014260138716967108,0.1,exponential,4,montecarlo,local,0.8308673469387754,0.0643853495782739,0.6093537414965984,-11.142857142857139
0.75,10,"(28, 28)",0.0014260138716967108,0.1,classic,4,montecarlo,local,0.8071428571428572,0.07308751379717944,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.0014260138716967108,0.1,logarithmic,4,montecarlo,local,0.8357142857142857,0.062238624642053604,0.6093537414965984,-11.98979591836735
0.75,10,"(28, 28)",0.002033515562271441,1e-07,exponential,4,montecarlo,local,0.8193877551020409,0.06399757257995504,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.002033515562271441,1e-07,classic,4,montecarlo,local,0.8135204081632654,0.0637086384101871,0.6093537414965984,-11.081632653061206
